Lentement;1
l’;511
alourdie;1
qu’;112
s’;87
On l’;5
Pál;128
Büdös;1
Agnès;1
Nyugati;9
gare n’;1
Ouest;1
Pál s’;2
t’;13
Budapest;23
L’;8
Danger;1
jusqu’;2
Le soleil;1
Ági;34
gare de l’;1
Autre;1
zoo de Budapest;1
cafés de Budapest;1
Central;1
Il l’;1
Émue;1
Hongrois;3
Zsolt;57
Allemands;3
Russes;11
Europe de l’Est;1
Pest;4
Danube;12
Buda;2
mont Gellért;1
Château;6
Normafa;1
Puits froid;1
Lánchíd;2
pont des Chaînes;2
d’;6
– C’;6
Comparée;1
Quelles;1
Drágám;1
Hongrie;26
l’île Marguerite;4
Musée national;1
paris;1
Excités;1
Cracha;1
col;1
– Est;7
– Sinon;1
Merde;1
jura;3
– Regarde;1
– Complètement;1
Montre-le-nous;1
d’Ági;4
Russe;2
C’;8
Américain;3
Kremlin;1
de Russie;1
Kerepes;1
Sara;27
l’Empire;1
Europe;4
chéris du Seigneur;1
Várpalota;2
Transdanubie;1
Vienne;2
Mitteleuropa;1
Halles;1
Financièrement;1
– Non;1
Russie;4
Morte;2
Créateur;1
Amérique;6
État;4
Derrière;1
vieux n’;1
missel;1
Pays de merde;1
– ;3
boutonnée;1
Celles;1
This is;1
Californie;1
Californiennes;4
Hollywood;1
Américaines;1
Lukács;1
l’eau;1
ça n’;1
Agressif;1
douche;1
Héviz;1
Libérée;1
Ruskoff;6
Rákosi;1
Regardez;1
Blême;1
Rajk;1
Corvin;1
Budapestois;1
Oublie;2
Laisse;1
Kádár;2
crachin;1
le Vienne-Budapest;1
Tziganes;3
Est;2
l’hôpital;1
Parfois;2
Munich;1
Bois de la Ville;2
Bois;1
statue de bronze heurta;1
Zsolt –;1
Autriche;1
Debrecen;4
táltos;1
Asie;1
sex-shops;3
Anglais;1
Coca-Cola;1
Londres;1
Jetées;1
Européens;2
New-York;1
Chicago;1
Diamond;11
Anastazie;5
l’Ode;1
Pas;3
caisse du Diamond;1
océan d’;1
Turul – l’;1
Dans l’;2
pont de la Liberté;1
l’hôpital Sándor;1
Ridicule;1
– Bien sûr;1
Panka;1
serrure l’;1
Français;1
France;4
Paris;8
Terrifiée;1
cimetière du Père-Lachaise;1
bizarrerie de l’;1
la France;1
Atlantique;1
la Bretagne;1
tour Eiffel;1
Attends;1
Toi;1
Business;1
Taille;1
gare de Nyugati;1
Maintenant;1
rue Ötpacsirta;1
Bonjour;1
Beau;1
Avez;1
Sorbonne;1
l’aveuglette;1
Bretagne;1
Ça l’;1
Pall Mall;1
Sopianae Menthol;1
Californienne;4
Pacifique;1
Prends;1
Californienne l’;1
Dallas;2
Malibu;1
Sue;1
Kerstin;40
va-t’;1
Karoly;3
brunie;1
Allemagne;16
Mélusine;1
Monika;9
Cologne;5
Kerstin l’;1
Turcs;1
Autrichiens;1
Le pays n’;1
Hongrie – qu’;1
Cabriole;1
Oktogon;1
Vivre;1
Menza;4
l’allemand;1
Zsolti;1
– Bien;1
j’;17
Allez;1
Boire;2
parc Erzsébet;1
rue Király;1
Sopianae;1
Allemandes;1
l’Ouest;1
brûle-pourpoint;1
Arrêtez;1
Ági gentiment;1
– Anyád;1
Tour;1
Française;1
Que l’;1
grogna Adam;1
Greta;30
Nil;1
Greta adoucit;1
la Terre;1
Hongroise;1
Pétri;1
Mammut;1
place Moszkva;1
Imre l’;1
Énervé;1
Malgré l’;1
Trouve-toi;1
– Ouais;1
monts Bakony;1
Rózsa;1
lac Balaton;2
Tihany;1
Dorés;1
Andes;1
Cité interdite;1
Újvidék;1
Serbie;1
Novi Sad;1
Combien;1
Ils l’;1
Allées;1
Déserts;1
Répétée;1
Allemand;1
Gellért;1
Ralenti;1
Salope;1
pop-corn mâché;1
Magneto;1
Les;1
Tchac;1
Soudain;1
Csepel;1
– Merde;2
tristesse l’;1
Brésil;2
Attendre;1
Seule Ági;1
Lonai;2
Nori;1
Misi;1
Porte Dorée;1
